YEAR,FAC_NO,FAC_NAME,BEG_DATE,END_DATE,COUNTY_NAME,TYPE_CNTRL,PATIENT_DAYS,TOT_HC_REV,TOT_HC_EXP,NONHC_NET,INC_TAX,EXT_ITEM,NET_INCOME
2015,206100772,PACIFIC GARDENS NURSING & REHAB CTR,1/1/2015 0:00,12/31/2015 0:00,Fresno,Investor Owned,57582,"$16,760,304.00 ","$15,855,862.00 ","$4,256.00 ",$0.00 ,$0.00 ,"$908,698.00 "
2014,206100772,PACIFIC GARDENS NURSING & REHAB CTR,1/1/2014 0:00,12/31/2014 0:00,Fresno,Investor Owned,61752,"$16,456,295.00 ","$15,363,092.00 ","$2,630.00 ",$0.00 ,$0.00 ,"$1,095,833.00 "
2013,206100772,PACIFIC GARDENS NURSING & REHAB CTR,1/1/2013 0:00,12/31/2013 0:00,Fresno,Investor Owned,61837,"$16,453,898.00 ","$14,977,526.00 ","$1,895.00 ",$0.00 ,$0.00 ,"$1,478,267.00 "
2012,206100772,PACIFIC GARDENS NURSING & REHAB CTR,1/1/2012 0:00,12/31/2012 0:00,Fresno,Investor Owned,62870,"$17,072,346.00 ","$14,561,140.00 ",$755.00 ,$0.00 ,$0.00 ,"$2,511,961.00 "
2011,206100772,PACIFIC GARDENS NURSING & REHAB CTR,1/1/2011 0:00,12/31/2011 0:00,Fresno,Investor Owned,62069,"$17,182,552.00 ","$14,363,709.00 ",$811.00 ,$0.00 ,$0.00 ,"$2,819,654.00 "
2015,206100778,PALM VILLAGE RETIREMENT COMMUNITY HEALTH CARE CENTER,1/1/2015 0:00,12/31/2015 0:00,Fresno,Not-for-Profit,41511,"$9,856,839.00 ","$9,950,978.00 ","$175,374.00 ",$0.00 ,$0.00 ,"$81,235.00 "
2014,206100778,PALM VILLAGE RETIREMENT COMMUNITY HEALTH CARE CENTER,1/1/2014 0:00,12/31/2014 0:00,Fresno,Not-for-Profit,41736,"$9,902,016.00 ","$10,065,458.00 ","$207,807.00 ",$0.00 ,$0.00 ,"$44,365.00 "
2013,206100778,PALM VILLAGE RETIREMENT COMMUNITY HEALTH CARE CENTER,1/1/2013 0:00,12/31/2013 0:00,Fresno,Not-for-Profit,41524,"$9,640,357.00 ","$9,285,052.00 ","($12,752.00)",$0.00 ,$0.00 ,"$342,553.00 "
2012,206100778,PALM VILLAGE RETIREMENT COMMUNITY HEALTH CARE CENTER,1/1/2012 0:00,12/31/2012 0:00,Fresno,Not-for-Profit,41872,"$10,092,648.00 ","$9,501,275.00 ","($33,560.00)",$0.00 ,$0.00 ,"$557,813.00 "
2011,206100778,PALM VILLAGE RETIREMENT COMMUNITY HEALTH CARE CENTER,1/1/2011 0:00,12/31/2011 0:00,Fresno,Not-for-Profit,42079,"$10,003,493.00 ","$9,287,124.00 ","$253,297.00 ",$0.00 ,$0.00 ,"$969,666.00 "
2015,206100780,RAINTREE CONVALESCENT HOSPITAL,1/1/2015 0:00,12/31/2015 0:00,Fresno,Investor Owned,17266,"$2,991,791.00 ","$2,976,307.00 ",$0.00 ,"($7,151.00)",$0.00 ,"$22,635.00 "
2014,206100780,RAINTREE CONVALESCENT HOSPITAL,1/1/2014 0:00,12/31/2014 0:00,Fresno,Investor Owned,17477,"$2,552,894.00 ","$2,918,431.00 ",$0.00 ,"$7,822.00 ",$0.00 ,"($373,359.00)"
2013,206100780,RAINTREE CONVALESCENT HOSPITAL,1/1/2013 0:00,12/31/2013 0:00,Fresno,Investor Owned,17478,"$3,009,866.00 ","$3,062,390.00 ",($74.00),"$15,759.00 ",$0.00 ,"($68,357.00)"
2012,206100780,RAINTREE CONVALESCENT HOSPITAL,1/1/2012 0:00,12/31/2012 0:00,Fresno,Investor Owned,17633,"$3,376,433.00 ","$2,972,426.00 ","$2,170.00 ",$800.00 ,($4.00),"$405,381.00 "
2011,206100780,RAINTREE CONVALESCENT HOSPITAL,1/1/2011 0:00,12/31/2011 0:00,Fresno,Investor Owned,17379,"$3,226,296.00 ","$2,402,863.00 ",($333.00),$0.00 ,"$110,570.00 ","$712,530.00 "
2015,206100781,GOLDEN LIVINGCENTER - REEDLEY,1/1/2015 0:00,12/31/2015 0:00,Fresno,Investor Owned,18397,"$5,188,946.00 ","$4,262,881.00 ","($1,246.00)","$323,162.00 ",$0.00 ,"$601,657.00 "
2014,206100781,GOLDEN LIVINGCENTER - REEDLEY,1/1/2014 0:00,12/31/2014 0:00,Fresno,Investor Owned,18387,"$4,885,266.00 ","$4,286,673.00 ",($548.00),"$209,316.00 ",$0.00 ,"$388,729.00 "
2013,206100781,GOLDEN LIVINGCENTER - REEDLEY,1/1/2013 0:00,12/31/2013 0:00,Fresno,Investor Owned,18357,"$4,924,911.00 ","$4,275,447.00 ",($118.00),"$279,442.00 ",$0.00 ,"$369,904.00 "
2012,206100781,GOLDEN LIVINGCENTER - REEDLEY,1/1/2012 0:00,12/31/2012 0:00,Fresno,Investor Owned,18302,"$4,777,100.00 ","$4,176,105.00 ",($286.00),"$210,248.00 ",$0.00 ,"$390,461.00 "
2011,206100781,GOLDEN LIVINGCENTER - REEDLEY,1/1/2011 0:00,12/31/2011 0:00,Fresno,Investor Owned,18455,"$5,352,194.00 ","$4,258,849.00 ",($262.00),"$382,579.00 ",$0.00 ,"$710,504.00 "
2015,206100789,THE TERRACES AT SAN JOAQUIN GARDENS HEALTH CARE CENTER,10/1/2014 0:00,9/30/2015 0:00,Fresno,Not-for-Profit,19060,"$6,952,293.00 ","$7,354,351.00 ","($6,467,905.00)",$0.00 ,$0.00 ,"($6,869,963.00)"
2014,206100789,THE TERRACES AT SAN JOAQUIN GARDENS HEALTH CARE CENTER,10/1/2013 0:00,9/30/2014 0:00,Fresno,Not-for-Profit,22178,"$7,425,808.00 ","$7,779,206.00 ","($5,007,648.00)",$0.00 ,$0.00 ,"($5,361,046.00)"
2013,206100789,THE TERRACES AT SAN JOAQUIN GARDENS HEALTH CARE CENTER,10/1/2012 0:00,9/30/2013 0:00,Fresno,Not-for-Profit,25945,"$8,660,462.00 ","$8,806,128.00 ","($2,519,142.00)",$0.00 ,$0.00 ,"($2,664,808.00)"
2012,206100789,THE TERRACES AT SAN JOAQUIN GARDENS HEALTH CARE CENTER,10/1/2011 0:00,9/30/2012 0:00,Fresno,Not-for-Profit,24521,"$8,415,230.00 ","$8,749,927.00 ","($643,855.00)",$0.00 ,"$14,067,082.00 ","($15,045,634.00)"
2011,206100789,THE TERRACES AT SAN JOAQUIN GARDENS HEALTH CARE CENTER,10/1/2010 0:00,9/30/2011 0:00,Fresno,Not-for-Profit,27606,"$10,284,402.00 ","$8,874,872.00 ","($427,164.00)",$0.00 ,$0.00 ,"$982,366.00 "
2015,206100790,GOLDEN LIVINGCENTER - SANGER,1/1/2015 0:00,12/31/2015 0:00,Fresno,Investor Owned,33243,"$8,897,958.00 ","$7,908,684.00 ","($1,103.00)","$345,004.00 ",$0.00 ,"$643,167.00 "
2014,206100790,GOLDEN LIVINGCENTER - SANGER,1/1/2014 0:00,12/31/2014 0:00,Fresno,Investor Owned,33658,"$8,172,864.00 ","$7,143,093.00 ",($447.00),"$360,263.00 ",$0.00 ,"$669,061.00 "
2013,206100790,GOLDEN LIVINGCENTER - SANGER,1/1/2013 0:00,12/31/2013 0:00,Fresno,Investor Owned,32930,"$7,839,303.00 ","$7,209,299.00 ",($19.00),"$312,725.00 ",$0.00 ,"$317,260.00 "
2012,206100790,GOLDEN LIVINGCENTER - SANGER,1/1/2012 0:00,12/31/2012 0:00,Fresno,Investor Owned,33793,"$7,950,456.00 ","$7,143,799.00 ",($105.00),"$282,293.00 ",$0.00 ,"$524,259.00 "
2011,206100790,GOLDEN LIVINGCENTER - SANGER,1/1/2011 0:00,12/31/2011 0:00,Fresno,Investor Owned,34507,"$8,997,754.00 ","$7,349,749.00 ",($494.00),"$576,629.00 ",$0.00 ,"$1,070,882.00 "
2015,206100792,SELMA CONVALESCENT HOSPITAL,1/1/2015 0:00,12/31/2015 0:00,Fresno,Investor Owned,12134,"$2,024,746.00 ","$2,025,881.00 ",$0.00 ,$800.00 ,$0.00 ,"($1,935.00)"
2014,206100792,SELMA CONVALESCENT HOSPITAL,1/1/2014 0:00,12/31/2014 0:00,Fresno,Investor Owned,11339,"$1,694,965.00 ","$1,908,365.00 ",$0.00 ,$0.00 ,$0.00 ,"($213,400.00)"
2013,206100792,SELMA CONVALESCENT HOSPITAL,1/1/2013 0:00,12/31/2013 0:00,Fresno,Investor Owned,11603,"$1,875,152.00 ","$1,857,374.00 ",$0.00 ,"$2,004.00 ",$0.00 ,"$15,774.00 "
2012,206100792,SELMA CONVALESCENT HOSPITAL,1/1/2012 0:00,12/31/2012 0:00,Fresno,Investor Owned,11749,"$1,955,027.00 ","$1,942,321.00 ","$31,236.00 ",$800.00 ,$0.00 ,"$43,142.00 "
2011,206100792,SELMA CONVALESCENT HOSPITAL,1/1/2011 0:00,12/31/2011 0:00,Fresno,Investor Owned,11741,"$1,722,534.00 ","$1,719,973.00 ","$33,800.00 ",$0.00 ,"$56,882.00 ","($20,521.00)"
2015,206100799,SIERRA VIEW HOMES,1/1/2015 0:00,12/31/2015 0:00,Fresno,Not-for-Profit,20848,"$4,526,014.00 ","$5,674,209.00 ","$1,311,098.00 ",$0.00 ,$0.00 ,"$162,903.00 "
2014,206100799,SIERRA VIEW HOMES,1/1/2014 0:00,12/31/2014 0:00,Fresno,Not-for-Profit,20968,"$5,381,627.00 ","$5,020,819.00 ","$876,455.00 ",$0.00 ,$0.00 ,"$1,237,263.00 "
2013,206100799,SIERRA VIEW HOMES,1/1/2013 0:00,12/31/2013 0:00,Fresno,Not-for-Profit,21060,"$4,489,125.00 ","$4,964,998.00 ","$715,782.00 ",$0.00 ,$1.00 ,"$239,908.00 "
2012,206100799,SIERRA VIEW HOMES,1/1/2012 0:00,12/31/2012 0:00,Fresno,Not-for-Profit,21255,"$4,511,678.00 ","$4,994,161.00 ","$659,836.00 ",$0.00 ,$1.00 ,"$177,352.00 "
2011,206100799,SIERRA VIEW HOMES,1/1/2011 0:00,12/31/2011 0:00,Fresno,Not-for-Profit,21293,"$4,272,187.00 ","$4,415,935.00 ","$358,673.00 ",$0.00 ,$0.00 ,"$214,925.00 "
2015,206100800,NORTH POINT HEALTHCARE & WELLNESS CENTRE,10/31/2014 0:00,4/30/2015 0:00,Fresno,Investor Owned,16886,"$5,295,439.00 ","$4,036,325.00 ","($3,763.00)",$0.00 ,$0.00 ,"$1,255,351.00 "
2014,206100800,NORTH POINT HEALTHCARE & WELLNESS CENTRE,1/1/2014 0:00,10/30/2014 0:00,Fresno,Investor Owned,27676,"$7,536,152.00 ","$7,047,794.00 ","($5,170.00)","$10,492.00 ",$0.00 ,"$472,696.00 "
2013,206100800,NORTH POINT HEALTHCARE & WELLNESS CENTRE,1/1/2013 0:00,12/31/2013 0:00,Fresno,Investor Owned,30883,"$8,403,048.00 ","$7,813,619.00 ",$14.00 ,$0.00 ,$0.00 ,"$589,443.00 "
2012,206100800,NORTH POINT HEALTHCARE & WELLNESS CENTRE,12/7/2011 0:00,12/31/2012 0:00,Fresno,Investor Owned,28134,"$6,196,343.00 ","$7,052,217.00 ",$0.00 ,$0.00 ,$0.00 ,"($855,874.00)"
2015,206100806,SUNNYSIDE CONVALESCENT HOSPITAL,2/1/2014 0:00,1/31/2015 0:00,Fresno,Investor Owned,31854,"$5,810,254.00 ","$6,214,957.00 ","($8,444.00)",$800.00 ,$0.00 ,"($413,947.00)"
2014,206100806,SUNNYSIDE CONVALESCENT HOSPITAL,2/1/2013 0:00,1/31/2014 0:00,Fresno,Investor Owned,30660,"$5,861,790.00 ","$6,075,225.00 ",$972.00 ,$800.00 ,$0.00 ,"($213,263.00)"
2013,206100806,SUNNYSIDE CONVALESCENT HOSPITAL,2/1/2012 0:00,1/31/2013 0:00,Fresno,Investor Owned,30352,"$5,868,019.00 ","$5,667,642.00 ","$28,577.00 ",$800.00 ,$0.00 ,"$228,154.00 "
2012,206100806,SUNNYSIDE CONVALESCENT HOSPITAL,2/1/2011 0:00,1/31/2012 0:00,Fresno,Investor Owned,35188,"$6,522,156.00 ","$5,861,836.00 ","($5,011.00)",$800.00 ,$0.00 ,"$654,509.00 "
2011,206100806,SUNNYSIDE CONVALESCENT HOSPITAL,2/1/2010 0:00,1/31/2011 0:00,Fresno,Investor Owned,31689,"$5,874,202.00 ","$5,513,384.00 ",$631.00 ,"$47,272.00 ",$0.00 ,"$314,177.00 "
2015,206100817,TWILIGHT HAVEN,1/1/2015 0:00,12/31/2015 0:00,Fresno,Not-for-Profit,17707,"$3,395,488.00 ","$4,636,369.00 ","$705,449.00 ",$0.00 ,$0.00 ,"($535,432.00)"
2014,206100817,TWILIGHT HAVEN,1/1/2014 0:00,12/31/2014 0:00,Fresno,Not-for-Profit,17864,"$4,164,610.00 ","$3,594,063.00 ","($674,190.00)",$0.00 ,$0.00 ,"($103,643.00)"
2013,206100817,TWILIGHT HAVEN,1/1/2013 0:00,12/31/2013 0:00,Fresno,Not-for-Profit,17811,"$4,069,397.00 ","$4,292,141.00 ","$215,927.00 ",$0.00 ,($1.00),"($6,816.00)"
2012,206100817,TWILIGHT HAVEN,1/1/2012 0:00,12/31/2012 0:00,Fresno,Not-for-Profit,18044,"$3,449,315.00 ","$3,694,682.00 ","$566,530.00 ",$0.00 ,$0.00 ,"$321,163.00 "
2011,206100817,TWILIGHT HAVEN,1/1/2011 0:00,12/31/2011 0:00,Fresno,Not-for-Profit,18052,"$3,573,273.00 ","$3,963,508.00 ","$527,828.00 ",$0.00 ,$0.00 ,"$137,593.00 "
2015,206100820,VALLEY HEALTH CARE CENTER,1/1/2015 0:00,12/31/2015 0:00,Fresno,Investor Owned,31722,"$7,162,907.00 ","$6,330,239.00 ",$0.00 ,$0.00 ,$0.00 ,"$832,668.00 "
2014,206100820,VALLEY HEALTH CARE CENTER,1/1/2014 0:00,12/31/2014 0:00,Fresno,Investor Owned,32234,"$7,643,237.00 ","$7,459,935.00 ",$0.00 ,$0.00 ,$0.00 ,"$183,302.00 "
2013,206100820,VALLEY HEALTH CARE CENTER,1/1/2013 0:00,12/31/2013 0:00,Fresno,Investor Owned,31852,"$7,108,549.00 ","$6,792,563.00 ",$0.00 ,$0.00 ,$0.00 ,"$315,986.00 "
2012,206100820,VALLEY HEALTH CARE CENTER,1/1/2012 0:00,12/31/2012 0:00,Fresno,Investor Owned,31091,"$6,867,171.00 ","$6,500,345.00 ",$0.00 ,$0.00 ,($2.00),"$366,828.00 "
2011,206100820,VALLEY HEALTH CARE CENTER,1/1/2011 0:00,12/31/2011 0:00,Fresno,Investor Owned,31424,"$7,251,952.00 ","$6,623,015.00 ",$0.00 ,$0.00 ,$1.00 ,"$628,936.00 "
2014,206100833,WISH I AH HEALTHCARE & WELLNESS CENTER,7/1/2013 0:00,6/30/2014 0:00,Fresno,Investor Owned,29232,"$5,977,984.00 ","$6,199,000.00 ","($2,856.00)","$16,868.00 ",$0.00 ,"($240,740.00)"
2013,206100833,WISH I AH HEALTHCARE & WELLNESS CENTER,7/1/2012 0:00,6/30/2013 0:00,Fresno,Investor Owned,36243,"$6,651,406.00 ","$7,150,748.00 ","$33,696.00 ","$13,290.00 ",$0.00 ,"($478,936.00)"
2012,206100833,WISH I AH HEALTHCARE & WELLNESS CENTER,7/1/2011 0:00,6/30/2012 0:00,Fresno,Investor Owned,41917,"$7,712,673.00 ","$7,975,235.00 ","($7,544.00)","$14,289.00 ",$0.00 ,"($284,395.00)"
2011,206100833,WISH I AH HEALTHCARE & WELLNESS CENTER,7/1/2010 0:00,6/30/2011 0:00,Fresno,Investor Owned,47167,"$8,560,028.00 ","$7,857,532.00 ","($69,767.00)",$0.00 ,$0.00 ,"$632,729.00 "
2015,206101843,HEALTHCARE CENTRE OF FRESNO,1/1/2015 0:00,12/31/2015 0:00,Fresno,Investor Owned,52312,"$13,860,004.00 ","$12,608,118.00 ","($678,728.00)","$12,590.00 ",$0.00 ,"$560,568.00 "
2014,206101843,HEALTHCARE CENTRE OF FRESNO,1/1/2014 0:00,12/31/2014 0:00,Fresno,Investor Owned,54213,"$14,228,335.00 ","$12,571,674.00 ","($528,818.00)","$12,590.00 ",$0.00 ,"$1,115,253.00 "
2013,206101843,HEALTHCARE CENTRE OF FRESNO,1/1/2013 0:00,12/31/2013 0:00,Fresno,Investor Owned,53193,"$13,031,898.00 ","$11,618,142.00 ","($526,774.00)","$12,590.00 ",$0.00 ,"$874,392.00 "
2012,206101843,HEALTHCARE CENTRE OF FRESNO,1/1/2012 0:00,12/31/2012 0:00,Fresno,Investor Owned,50872,"$12,527,434.00 ","$11,394,632.00 ","($253,951.00)","$15,411.00 ",$0.00 ,"$863,440.00 "
2011,206101843,HEALTHCARE CENTRE OF FRESNO,1/1/2011 0:00,12/31/2011 0:00,Fresno,Investor Owned,52222,"$11,844,249.00 ","$10,916,901.00 ","($236,641.00)",$0.00 ,$0.00 ,"$690,707.00 "
2015,206102153,KINGSBURG CENTER,1/1/2015 0:00,12/31/2015 0:00,Fresno,Investor Owned,29545,"$6,776,043.00 ","$6,884,141.00 ",$0.00 ,$0.00 ,$0.00 ,"($108,098.00)"
2014,206102153,KINGSBURG CENTER,1/1/2014 0:00,12/31/2014 0:00,Fresno,Investor Owned,29843,"$6,570,512.00 ","$7,059,337.00 ",$0.00 ,$0.00 ,$0.00 ,"($488,825.00)"
2013,206102153,KINGSBURG CENTER,1/1/2013 0:00,12/31/2013 0:00,Fresno,Investor Owned,30074,"$6,420,002.00 ","$6,336,953.00 ",$0.00 ,$0.00 ,$0.00 ,"$83,049.00 "
2012,206102153,KINGSBURG CENTER,1/1/2012 0:00,12/31/2012 0:00,Fresno,Investor Owned,30409,"$6,302,712.00 ","$6,300,158.00 ",$0.00 ,$0.00 ,$0.00 ,"$2,554.00 "
2011,206102153,KINGSBURG CENTER,1/1/2011 0:00,12/31/2011 0:00,Fresno,Investor Owned,30365,"$6,426,627.00 ","$6,208,459.00 ",$0.00 ,$0.00 ,$0.00 ,"$218,168.00 "
2015,206104078,WILLOW CREEK HEALTHCARE CENTER,1/1/2015 0:00,12/31/2015 0:00,Fresno,Investor Owned,52883,"$15,840,641.00 ","$13,452,984.00 ",$0.00 ,$0.00 ,$0.00 ,"$2,387,657.00 "
2014,206104078,WILLOW CREEK HEALTHCARE CENTER,1/1/2014 0:00,12/31/2014 0:00,Fresno,Investor Owned,52945,"$15,330,418.00 ","$13,846,743.00 ",$0.00 ,$0.00 ,$0.00 ,"$1,483,675.00 "
2013,206104078,WILLOW CREEK HEALTHCARE CENTER,1/1/2013 0:00,12/31/2013 0:00,Fresno,Investor Owned,52664,"$14,592,174.00 ","$13,258,031.00 ",$0.00 ,$0.00 ,$0.00 ,"$1,334,143.00 "
2012,206104078,WILLOW CREEK HEALTHCARE CENTER,1/1/2012 0:00,12/31/2012 0:00,Fresno,Investor Owned,51862,"$14,989,914.00 ","$12,826,044.00 ",$0.00 ,$0.00 ,($1.00),"$2,163,871.00 "
2011,206104078,WILLOW CREEK HEALTHCARE CENTER,1/1/2011 0:00,12/31/2011 0:00,Fresno,Investor Owned,52985,"$15,580,244.00 ","$12,294,720.00 ",$0.00 ,$0.00 ,($1.00),"$3,285,525.00 "
2015,206105014,HORIZON HEALTH AND SUBACUTE CENTER,1/1/2015 0:00,12/31/2015 0:00,Fresno,Investor Owned,62300,"$23,151,808.00 ","$21,384,091.00 ","($4,317.00)",$0.00 ,$0.00 ,"$1,763,400.00 "
2014,206105014,HORIZON HEALTH AND SUBACUTE CENTER,1/1/2014 0:00,12/31/2014 0:00,Fresno,Investor Owned,62171,"$22,491,839.00 ","$20,954,647.00 ",$825.00 ,$0.00 ,$0.00 ,"$1,538,017.00 "
2013,206105014,HORIZON HEALTH AND SUBACUTE CENTER,1/1/2013 0:00,12/31/2013 0:00,Fresno,Investor Owned,61601,"$21,546,236.00 ","$20,164,033.00 ","$19,966.00 ",$0.00 ,$0.00 ,"$1,402,169.00 "
2012,206105014,HORIZON HEALTH AND SUBACUTE CENTER,1/1/2012 0:00,12/31/2012 0:00,Fresno,Investor Owned,62534,"$21,829,616.00 ","$19,316,194.00 ",($304.00),$0.00 ,$0.00 ,"$2,513,118.00 "
2011,206105014,HORIZON HEALTH AND SUBACUTE CENTER,1/1/2011 0:00,12/31/2011 0:00,Fresno,Investor Owned,63860,"$22,284,703.00 ","$19,151,670.00 ",$849.00 ,$0.00 ,$0.00 ,"$3,133,882.00 "
2015,206112227,WILLOWS CARE CENTER,1/1/2015 0:00,12/31/2015 0:00,Glenn,Investor Owned,26182,"$6,687,406.00 ","$7,284,830.00 ",$0.00 ,$0.00 ,$0.00 ,"($597,424.00)"
2014,206112227,WILLOWS CARE CENTER,1/1/2014 0:00,12/31/2014 0:00,Glenn,Investor Owned,26663,"$6,868,724.00 ","$7,305,295.00 ",$0.00 ,$0.00 ,$0.00 ,"($436,571.00)"
2013,206112227,WILLOWS CARE CENTER,1/1/2013 0:00,12/31/2013 0:00,Glenn,Investor Owned,25783,"$6,366,158.00 ","$6,920,747.00 ",$0.00 ,$0.00 ,$0.00 ,"($554,589.00)"
2012,206112227,WILLOWS CARE CENTER,1/1/2012 0:00,12/31/2012 0:00,Glenn,Investor Owned,26620,"$6,861,775.00 ","$6,900,524.00 ",$0.00 ,$0.00 ,$0.00 ,"($38,749.00)"
2011,206112227,WILLOWS CARE CENTER,1/1/2011 0:00,12/31/2011 0:00,Glenn,Investor Owned,25317,"$6,339,736.00 ","$6,444,054.00 ",$0.00 ,$0.00 ,$0.00 ,"($104,318.00)"
2015,206120955,GRANADA REHABILITATION & WELLNESS CENTER,11/1/2014 0:00,10/31/2015 0:00,Humboldt,Investor Owned,28551,"$7,846,280.00 ","$7,693,945.00 ","($8,764.00)","$1,600.00 ",$0.00 ,"$141,971.00 "
2014,206120955,GRANADA REHABILITATION & WELLNESS CENTER,11/1/2013 0:00,10/31/2014 0:00,Humboldt,Investor Owned,31134,"$8,357,315.00 ","$7,652,305.00 ","($19,403.00)",$800.00 ,$0.00 ,"$684,807.00 "
2013,206120955,GRANADA REHABILITATION & WELLNESS CENTER,11/1/2012 0:00,10/31/2013 0:00,Humboldt,Investor Owned,31150,"$8,402,625.00 ","$7,656,286.00 ","($22,638.00)",$800.00 ,$0.00 ,"$722,901.00 "
2012,206120955,GRANADA REHABILITATION & WELLNESS CENTER,11/1/2011 0:00,10/31/2012 0:00,Humboldt,Investor Owned,31208,"$8,052,522.00 ","$7,262,312.00 ","$2,808.00 ",$800.00 ,$0.00 ,"$792,218.00 "
2011,206120955,GRANADA REHABILITATION & WELLNESS CENTER,4/1/2011 0:00,10/31/2011 0:00,Humboldt,Investor Owned,17877,"$4,863,852.00 ","$4,283,548.00 ",$2.00 ,$800.00 ,$0.00 ,"$579,506.00 "
2015,206121030,PACIFIC REHABILITATION & WELLNESS CENTER,11/1/2014 0:00,10/31/2015 0:00,Humboldt,Investor Owned,18387,"$5,107,372.00 ","$5,097,956.00 ","($6,653.00)",$800.00 ,$0.00 ,"$1,963.00 "
2014,206121030,PACIFIC REHABILITATION & WELLNESS CENTER,11/1/2013 0:00,10/31/2014 0:00,Humboldt,Investor Owned,20148,"$6,163,319.00 ","$5,580,357.00 ","$13,527.00 ",$800.00 ,$0.00 ,"$595,689.00 "
2013,206121030,PACIFIC REHABILITATION & WELLNESS CENTER,11/1/2012 0:00,10/31/2013 0:00,Humboldt,Investor Owned,20419,"$5,721,952.00 ","$5,646,815.00 ","($8,125.00)",$800.00 ,$0.00 ,"$66,212.00 "
2012,206121030,PACIFIC REHABILITATION & WELLNESS CENTER,11/1/2011 0:00,10/31/2012 0:00,Humboldt,Investor Owned,20841,"$5,873,846.00 ","$5,468,205.00 ","$2,327.00 ",$800.00 ,$0.00 ,"$407,168.00 "
2011,206121030,PACIFIC REHABILITATION & WELLNESS CENTER,4/1/2011 0:00,10/31/2011 0:00,Humboldt,Investor Owned,11911,"$3,260,346.00 ","$3,146,168.00 ",$86.00 ,$800.00 ,$0.00 ,"$113,464.00 "
2015,206121033,EUREKA REHABILITATION & WELLNESS CENTER,11/1/2014 0:00,10/31/2015 0:00,Humboldt,Investor Owned,24737,"$5,700,417.00 ","$7,283,569.00 ","$7,264.00 ",$800.00 ,$0.00 ,"($1,576,688.00)"
2014,206121033,EUREKA REHABILITATION & WELLNESS CENTER,11/1/2013 0:00,10/31/2014 0:00,Humboldt,Investor Owned,23982,"$6,407,566.00 ","$6,595,905.00 ","($38,966.00)",$800.00 ,$0.00 ,"($228,105.00)"
2013,206121033,EUREKA REHABILITATION & WELLNESS CENTER,11/1/2012 0:00,10/31/2013 0:00,Humboldt,Investor Owned,25319,"$6,516,671.00 ","$6,584,350.00 ","($13,217.00)",$800.00 ,$0.00 ,"($81,696.00)"
2012,206121033,EUREKA REHABILITATION & WELLNESS CENTER,11/1/2011 0:00,10/31/2012 0:00,Humboldt,Investor Owned,29154,"$7,879,276.00 ","$7,086,521.00 ","$3,954.00 ",$800.00 ,$0.00 ,"$795,909.00 "
2011,206121033,EUREKA REHABILITATION & WELLNESS CENTER,4/1/2011 0:00,10/31/2011 0:00,Humboldt,Investor Owned,15140,"$4,056,700.00 ","$3,907,714.00 ",$22.00 ,$800.00 ,$0.00 ,"$148,208.00 "
2015,206121065,SEAVIEW REHABILITATION & WELLNESS CENTER,11/1/2014 0:00,10/31/2015 0:00,Humboldt,Investor Owned,27148,"$7,610,817.00 ","$7,779,734.00 ","($23,379.00)","$1,687.00 ",$0.00 ,"($193,983.00)"
2014,206121065,SEAVIEW REHABILITATION & WELLNESS CENTER,11/1/2013 0:00,10/31/2014 0:00,Humboldt,Investor Owned,29921,"$8,676,124.00 ","$7,804,375.00 ","($21,800.00)",$800.00 ,$0.00 ,"$849,149.00 "
2013,206121065,SEAVIEW REHABILITATION & WELLNESS CENTER,11/1/2012 0:00,10/31/2013 0:00,Humboldt,Investor Owned,29106,"$7,980,422.00 ","$7,440,399.00 ","($6,548.00)",$800.00 ,$0.00 ,"$532,675.00 "
2012,206121065,SEAVIEW REHABILITATION & WELLNESS CENTER,11/1/2011 0:00,10/31/2012 0:00,Humboldt,Investor Owned,27474,"$7,337,369.00 ","$6,759,403.00 ",$0.00 ,$800.00 ,$0.00 ,"$577,166.00 "
2011,206121065,SEAVIEW REHABILITATION & WELLNESS CENTER,4/1/2011 0:00,10/31/2011 0:00,Humboldt,Investor Owned,12583,"$3,092,622.00 ","$3,444,895.00 ",$0.00 ,$800.00 ,$0.00 ,"($353,073.00)"
2015,206121081,FORTUNA REHABILITATION & WELLNESS CENTER,11/1/2014 0:00,10/31/2015 0:00,Humboldt,Investor Owned,27245,"$7,155,864.00 ","$6,979,682.00 ","($30,177.00)",$800.00 ,$0.00 ,"$145,205.00 "
2014,206121081,FORTUNA REHABILITATION & WELLNESS CENTER,11/1/2013 0:00,10/31/2014 0:00,Humboldt,Investor Owned,28046,"$7,464,735.00 ","$7,162,413.00 ","($31,520.00)",$800.00 ,$0.00 ,"$270,002.00 "
2013,206121081,FORTUNA REHABILITATION & WELLNESS CENTER,11/1/2012 0:00,10/31/2013 0:00,Humboldt,Investor Owned,30282,"$7,244,490.00 ","$7,307,391.00 ","($16,043.00)",$800.00 ,$0.00 ,"($79,744.00)"
2012,206121081,FORTUNA REHABILITATION & WELLNESS CENTER,11/1/2011 0:00,10/31/2012 0:00,Humboldt,Investor Owned,31250,"$7,520,069.00 ","$7,254,275.00 ","$3,373.00 ",$800.00 ,$0.00 ,"$268,367.00 "
